City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Aksha,RU,2021-08-01 19:15:41,50.2814,113.2867,54.5,90,15,2.64
156,Balkhash,KZ,2021-08-01 19:15:42,46.844,74.9804,79.16,33,2,8.55
157,Kaseda,JP,2021-08-01 19:15:42,31.4167,130.3167,77.85,84,89,7.92
158,Provideniya,RU,2021-08-01 19:15:42,64.3833,-173.3,41.79,90,100,14.0
159,Alta Floresta,BR,2021-08-01 19:15:43,-9.8756,-56.0861,94.82,28,40,9.22
160,Kavaratti,IN,2021-08-01 19:15:43,10.5669,72.642,82.31,77,37,15.32
161,Birao,CF,2021-08-01 19:15:43,10.2849,22.7882,70.63,94,52,4.88
162,Karratha,AU,2021-08-01 19:15:44,-20.7377,116.8463,61.74,40,0,12.17
163,Xining,CN,2021-08-01 19:15:44,36.6167,101.7667,60.75,62,31,3.89
164,Uirauna,BR,2021-08-01 19:15:44,-6.5183,-38.4122,82.02,45,96,14.14
165,Tautira,PF,2021-08-01 19:15:45,-17.7333,-149.15,78.82,62,79,8.84
166,Lata,PT,2021-08-01 19:15:45,40.1629,-8.3327,69.35,89,98,5.35
167,Cedar City,US,2021-08-01 19:15:45,37.6775,-113.0619,78.4,44,20,4.61
168,Nanortalik,GL,2021-08-01 19:15:45,60.1432,-45.2371,51.01,72,100,15.57
169,Sundsvall,SE,2021-08-01 19:15:46,62.3913,17.3063,62.96,55,90,3.44
170,Gravelbourg,CA,2021-08-01 19:15:46,49.8834,-106.5512,88.07,21,14,3.87
171,Gunjur,GM,2021-08-01 19:15:46,13.2019,-16.7339,80.67,89,75,10.36
172,Mogadishu,SO,2021-08-01 19:15:47,2.0371,45.3438,75.92,85,76,20.65
173,Camabatela,AO,2021-08-01 19:15:47,-8.1881,15.375,68.9,27,14,4.61
174,Natal,BR,2021-08-01 19:12:18,-5.795,-35.2094,79.45,69,75,9.22
175,Erenhot,CN,2021-08-01 19:15:48,43.6475,111.9767,66.45,47,7,8.97
176,Filadelfia,US,2021-08-01 19:11:41,39.9523,-75.1638,77.25,79,90,1.99
177,Menongue,AO,2021-08-01 19:15:48,-14.6585,17.691,59.05,34,0,5.23
178,Inhambane,MZ,2021-08-01 19:15:48,-23.865,35.3833,58.98,94,0,0.0
179,Nikolskoye,RU,2021-08-01 19:12:05,59.7035,30.7861,64.4,69,6,9.13
180,Saravena,CO,2021-08-01 19:15:49,6.9538,-71.8752,78.42,93,93,3.11
181,Ozernovskiy,RU,2021-08-01 19:15:49,51.5,156.5167,51.12,84,0,6.96
182,Luxor,EG,2021-08-01 19:15:50,25.6989,32.6421,96.12,12,84,9.75
