City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Vanimo,PG,-2.6741,141.3028,76.03,88,14,5.68,few clouds
229,Brae,GB,60.3964,-1.353,58.91,90,36,16.53,scattered clouds
230,Shuangyang,CN,43.5242,125.6736,69.76,96,97,5.46,moderate rain
231,Alta Floresta,BR,-9.8756,-56.0861,93.02,22,0,4.61,clear sky
232,Senahu,GT,15.4,-89.8333,80.46,67,88,4.09,overcast clouds
233,Makakilo City,US,21.3469,-158.0858,80.92,65,90,9.22,overcast clouds
234,Conceicao Da Barra,BR,-18.5933,-39.7322,71.85,66,73,9.31,broken clouds
235,Guanare,VE,9.0418,-69.7421,87.82,66,27,9.22,scattered clouds
236,Karatuzskoye,RU,53.6072,92.8667,59.65,92,100,2.55,light rain
237,Port Lincoln,AU,-34.7333,135.8667,54.91,73,100,7.61,overcast clouds
238,Lasa,IT,46.6166,10.7002,61.54,83,93,4.36,overcast clouds
239,Ust-Maya,RU,60.4167,134.5333,57.25,61,68,6.31,broken clouds
240,Vao,NC,-22.6667,167.4833,67.19,59,76,18.7,broken clouds
241,Minab,IR,27.1467,57.0801,90.9,46,8,3.89,clear sky
242,Gat,IL,31.61,34.7642,90.39,39,0,4.54,clear sky
243,Akyab,MM,20.15,92.9,80.29,86,100,9.46,moderate rain
244,Ballina,AU,-28.8667,153.5667,46.78,87,46,5.75,scattered clouds
245,Hauterive,FR,46.0901,3.4459,68.76,82,100,5.21,overcast clouds
246,Katsuura,JP,35.1333,140.3,80.71,87,62,6.98,broken clouds
247,Pringsewu,ID,-5.3582,104.9744,72.27,96,89,1.43,overcast clouds
248,Tura,IN,25.5198,90.2201,75.99,93,100,2.17,overcast clouds
249,Serenje,ZM,-13.2325,30.2352,55.17,49,0,3.69,clear sky
250,Nishihara,JP,26.1842,127.7558,79.88,97,40,5.75,scattered clouds
251,Morehead,US,37.2711,-87.1764,87.31,48,90,1.01,overcast clouds
252,Namatanai,PG,-3.6667,152.4333,78.06,86,99,9.28,moderate rain
253,Ponta Delgada,PT,37.7333,-25.6667,74.12,88,20,16.11,few clouds
254,Mizdah,LY,31.4451,12.9801,90.1,12,4,6.04,clear sky
255,Mackay,AU,-21.15,149.2,56.05,81,5,5.75,clear sky
256,Amapa,BR,1.0,-52.0,76.15,84,100,3.04,overcast clouds
257,Puri,IN,19.8,85.85,85.37,76,13,7.67,few clouds
